Image,Width,Height,Sigma,Tmin,Tmax,Host_Time_ms,Device_Time_ms,Speedup
house.pgm,512,512,2.25,70,120,31.025215,1.427456,21.73
house.pgm,512,512,2.25,70,130,39.194080,1.464992,26.75
house.pgm,512,512,2.5,20,80,37.189056,1.441664,25.79
house.pgm,512,512,2.5,20,90,31.160641,1.423776,21.88
house.pgm,512,512,2.5,20,100,35.764000,1.452736,24.61
house.pgm,512,512,2.5,20,110,30.799007,1.440000,21.38
house.pgm,512,512,2.5,20,120,30.841248,1.445088,21.34
house.pgm,512,512,2.5,20,130,31.034817,1.442656,21.51
house.pgm,512,512,2.5,30,80,31.031456,1.424832,21.77
house.pgm,512,512,2.5,30,90,31.091936,1.446752,21.49
house.pgm,512,512,2.5,30,100,29.846975,1.435136,20.79
house.pgm,512,512,2.5,30,110,35.864609,1.429568,25.08
house.pgm,512,512,2.5,30,120,37.670464,1.438144,26.19
house.pgm,512,512,2.5,30,130,39.385567,1.527872,25.77
house.pgm,512,512,2.5,40,80,30.861919,1.453024,21.23
house.pgm,512,512,2.5,40,90,31.018721,1.438944,21.55
house.pgm,512,512,2.5,40,100,30.802015,1.417088,21.73
house.pgm,512,512,2.5,40,110,30.377249,1.431776,21.21
house.pgm,512,512,2.5,40,120,29.825279,1.430176,20.85
house.pgm,512,512,2.5,40,130,31.041632,1.447680,21.44
house.pgm,512,512,2.5,50,80,31.079231,1.414176,21.97
house.pgm,512,512,2.5,50,90,31.033184,1.418656,21.87
house.pgm,512,512,2.5,50,100,29.904287,1.423232,21.01
house.pgm,512,512,2.5,50,110,29.913664,1.424064,21.00
house.pgm,512,512,2.5,50,120,30.028288,1.441280,20.83
house.pgm,512,512,2.5,50,130,31.085056,1.453472,21.38
house.pgm,512,512,2.5,60,80,36.849758,1.456224,25.30
house.pgm,512,512,2.5,60,90,30.943359,1.435168,21.56
house.pgm,512,512,2.5,60,100,29.680223,1.427936,20.78
house.pgm,512,512,2.5,60,110,29.624224,1.441408,20.55
house.pgm,512,512,2.5,60,120,31.025921,1.436256,21.60
house.pgm,512,512,2.5,60,130,29.689888,1.446368,20.52
house.pgm,512,512,2.5,70,80,35.896992,1.448832,24.77
house.pgm,512,512,2.5,70,90,31.193089,1.453248,21.46
